KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE		HARGA JUAL	HARGA MODAL	QTY	HARGA NET
HEADWERE	4054709 066757	M 30608	ANKLE S TREF 3 P	39 42	ANKLE S TREF 3 P;M 30608;39 42	 Rp 219,000 	  128,115.00 	12	  1,537,380.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 022876	M 30624	LINER S TREF 3P	39 42	LINER S TREF 3P;M 30624;39 42	 Rp 199,000 	  116,415.00 	10	  1,164,150.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 065088	M 30632	AC CLASSIC CAP	OSFM	AC CLASSIC CAP;M 30632;OSFM	 Rp 249,000 	  145,665.00 	3	  436,995.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 406799	M 31740	TEN HEADBAND	OSFM	TEN HEADBAND;M 31740;OSFM	 Rp 89,000 	  52,065.00 	9	  468,585.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055016 814444	M 35602	PERF BOTTL 0.5	NS	PERF BOTTL 0.5;M 35602;NS	 Rp 59,000 	  34,515.00 	7	  241,605.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 084689	M 36896	CONNEXT 15 SALA 65	FUTS	CONNEXT 15 SALA 65;M 36896;FUTS	 Rp 599,000 	  350,415.00 	6	  2,102,490.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054714 340538	M 36886	CONEXT 15 TOP GLI	5	CONEXT 15 TOP GLI;M 36886;5	 Rp 299,000 	  174,915.00 	2	  349,830.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 510607	M 38620	F50 GRAPHCC	8	F50 GRAPHCC;M 38620;8	 Rp 279,000 	  163,215.00 	5	  816,075.00 
HEADWERE	4055014 510584	M 38620	F50 GRAPHCC	7	F50 GRAPHCC;M 38620;7	 Rp 279,000 	  163,215.00 	2	  326,430.00 
HEADWERE	4055014 510614	M 38620	F50 GRAPHCC	9	F50 GRAPHCC;M 38620;9	 Rp 279,000 	  163,215.00 	5	  816,075.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 301335	M 38638	II LESTO	M	II LESTO;M 38638;M	 Rp 99,000 	  57,915.00 	0	  -   
HEADWERE	4055014 301342	M 38638	II LESTO	L	II LESTO;M 38638;L	 Rp 99,000 	  57,915.00 	2	  115,830.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 579680	M 38639	II LESTO	S	II LESTO;M 38639;S	 Rp 99,000 	  57,915.00 	1	  57,915.00 
HEADWERE	4055014 579666	M 38639	II LESTO	M	II LESTO;M 38639;M	 Rp 99,000 	  57,915.00 	1	  57,915.00 
HEADWERE	4055014 579673	M 38639	II LESTO	L	II LESTO;M 38639;L	 Rp 99,000 	  57,915.00 	1	  57,915.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 523591	M 38740	PRED TRAINING	8	PRED TRAINING;M 38740;8	 Rp 299,000 	  174,915.00 	4	  699,660.00 
HEADWERE	4055014 523737	M 38740	PRED TRAINING	9	PRED TRAINING;M 38740;9	 Rp 299,000 	  174,915.00 	5	  874,575.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 782978	M 65263	MESS NEW	NS	MESS NEW;M 65263;NS	 Rp 459,000 	  268,515.00 	2	  537,030.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054712 277447	M 66482	CLIMA TB M	M	CLIMA TB M;M 66482;M	 Rp 449,000 	  262,665.00 	4	  1,050,660.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054712 287538	M 66483	CLIMA TB M	M	CLIMA TB M;M 66483;M	 Rp 449,000 	  262,665.00 	3	  787,995.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 048586	M 67593	ADI2 TC ANK 2PP	40 42	ADI2 TC ANK 2PP;M 67593;40 42	 Rp 199,000 	  116,415.00 	2	  232,830.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054709 021008	M 67602	TC ENER LIN 1 PP	40 42	TC ENER LIN 1 PP;M 67602;40 42	 Rp 129,000 	  75,465.00 	5	  377,325.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054708 711559	M 67806	3S PER TB M	M	3S PER TB M;M 67806;M	 Rp 499,000 	  291,915.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4048187 925903	O 30467	WHITE/BREEZE	36 41	WHITE/BREEZE;O 30467;36 41	 Rp 49,000 	  28,665.00 	3	  85,995.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4893938 957807	P 39019	SUN/LG TSCARLT	43 45	SUN/LG TSCARLT;P 39019;43 45	 Rp 99,000 	  57,915.00 	1	  57,915.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055016 293393	S 02099	ANKLE 3PP	35 38	ANKLE 3PP;S 02099;35 38	 Rp 129,000 	  75,465.00 	5	  377,325.00 
HEADWERE	4055016 293416	S 02099	ANKLE 3PP	43 46	ANKLE 3PP;S 02099;43 46	 Rp 129,000 	  75,465.00 	1	  75,465.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 367683	S 20475	CLMCH CAP	OSFM	CLMCH CAP;S 20475;OSFM	 Rp 199,000 	  116,415.00 	2	  232,830.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 516296	S 20461	PERF CAP 3S CO	OSFM	PERF CAP 3S CO;S 20461;OSFM	 Rp 179,000 	  104,715.00 	3	  314,145.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055012 606241	S 18196	CLMCO TB M	M	CLMCO TB M;S 18196;M	 Rp 599,000 	  350,415.00 	2	  700,830.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055012 606326	S 18198	CLMCO TB M	M	CLMCO TB M;S 18198;M	 Rp 599,000 	  350,415.00 	3	  1,051,245.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4054065 230694	S 20092	BP CLASS INFILL	NS	BP CLASS INFILL;S 20092;NS	 Rp 409,000 	  239,265.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4054065 226536	S 20110	BP CLASS SPR STR	NS	BP CLASS SPR STR;S 20110;NS	 Rp 409,000 	  239,265.00 	5	  1,196,325.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055012 764170	S 20312	AC FRITED CAP	OSFM	AC FRITED CAP;S 20312;OSFM	 Rp 299,000 	  174,915.00 	4	  699,660.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 559507	S 20476	CLMCH CAP	OSFM	CLMCH CAP;S 20476;OSFM	 Rp 199,000 	  116,415.00 	2	  232,830.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 372038	S 24612	INVISIBLE T 3PP	35 38	INVISIBLE T 3PP;S 24612;35 38	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE	4055014 372021	S 24612	INVISIBLE T 3PP	39 42	INVISIBLE T 3PP;S 24612;39 42	 Rp 129,000 	  75,465.00 	7	  528,255.00 
