KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE	NAM;ART;SIZE	HARGA JUAL	HARGA MODAL	QTY	HARGA NET
FOOTWERE	4055344 792414	F 99664	CLOUD FOAM PURE W	4-	CLOUD FOAM PURE W;F 99664;4-	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 792384	F 99664	CLOUD FOAM PURE W	5	CLOUD FOAM PURE W;F 99664;5	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 792360	F 99664	CLOUD FOAM PURE W	5-	CLOUD FOAM PURE W;F 99664;5-	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 792445	F 99664	CLOUD FOAM PURE W	6	CLOUD FOAM PURE W;F 99664;6	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 792438	F 99664	CLOUD FOAM PURE W	6-	CLOUD FOAM PURE W;F 99664;6-	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 792421	F 99664	CLOUD FOAM PURE W	7	CLOUD FOAM PURE W;F 99664;7	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055344 782323	F 99667	CLOUDFOAM PURE W	4-	CLOUDFOAM PURE W;F 99667;4-	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 782231	F 99667	CLOUDFOAM PURE W	5	CLOUDFOAM PURE W;F 99667;5	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 782255	F 99667	CLOUDFOAM PURE W	5-	CLOUDFOAM PURE W;F 99667;5-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055344 782279	F 99667	CLOUDFOAM PURE W	6	CLOUDFOAM PURE W;F 99667;6	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055344 782293	F 99667	CLOUDFOAM PURE W	6-	CLOUDFOAM PURE W;F 99667;6-	 Rp 799,000 	  467,415.00 	3	  1,402,245.00 
FOOTWERE	4055344 782347	F 99667	CLOUDFOAM PURE W	7	CLOUDFOAM PURE W;F 99667;7	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4055344 793442	F 99670	CLOUDFOAM PURE W	4-	CLOUDFOAM PURE W;F 99670;4-	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 793480	F 99670	CLOUDFOAM PURE W	5	CLOUDFOAM PURE W;F 99670;5	 Rp 799,000 	  467,415.00 	2	  934,830.00 
FOOTWERE	4055344 793527	F 99670	CLOUDFOAM PURE W	5-	CLOUDFOAM PURE W;F 99670;5-	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055344 793503	F 99670	CLOUDFOAM PURE W	6	CLOUDFOAM PURE W;F 99670;6	 Rp 799,000 	  467,415.00 	1	  467,415.00 
FOOTWERE	4055344 792605	F 99670	CLOUDFOAM PURE W	6-	CLOUDFOAM PURE W;F 99670;6-	 Rp 799,000 	  467,415.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4049855 726884	G 14309	DURAMO SLIDE	4	DURAMO SLIDE;G 14309;4	 Rp 239,000 	  139,815.00 	5	  699,075.00 
FOOTWERE	4049855 726891	G 14309	DURAMO SLIDE	5	DURAMO SLIDE;G 14309;5	 Rp 239,000 	  139,815.00 	2	  279,630.00 
FOOTWERE	4049855 726907	G 14309	DURAMO SLIDE	6	DURAMO SLIDE;G 14309;6	 Rp 239,000 	  139,815.00 	5	  699,075.00 
FOOTWERE	4049885 726914	G 14309	DURAMO SLIDE	7	DURAMO SLIDE;G 14309;7	 Rp 239,000 	  139,815.00 	12	  1,677,780.00 
FOOTWERE	4049855 726921	G 14309	DURAMO SLIDE	8	DURAMO SLIDE;G 14309;8	 Rp 239,000 	  139,815.00 	18	  2,516,670.00 
FOOTWERE	4049855 726938	G 14309	DURAMO SLIDE	9	DURAMO SLIDE;G 14309;9	 Rp 239,000 	  139,815.00 	10	  1,398,150.00 
FOOTWERE	4049855 726945	G 14309	DURAMO SLIDE	10	DURAMO SLIDE;G 14309;10	 Rp 239,000 	  139,815.00 	13	  1,817,595.00 
FOOTWERE	4049855 726952	G 14309	DURAMO SLIDE	11	DURAMO SLIDE;G 14309;11	 Rp 239,000 	  139,815.00 	1	  139,815.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4049855 688182	G 15890	DURAMO SLIDE	5	DURAMO SLIDE;G 15890;5	 Rp 239,000 	  139,815.00 	2	  279,630.00 
FOOTWERE	4049855 688199	G 15890	DURAMO SLIDE	6	DURAMO SLIDE;G 15890;6	 Rp 239,000 	  139,815.00 	0	  -   
FOOTWERE	4049855 688212	G 15890	DURAMO SLIDE	8	DURAMO SLIDE;G 15890;8	 Rp 239,000 	  139,815.00 	5	  699,075.00 
FOOTWERE	4049855 688229	G 15890	DURAMO SLIDE	9	DURAMO SLIDE;G 15890;9	 Rp 239,000 	  139,815.00 	14	  1,957,410.00 
FOOTWERE	4049855 688236	G 15890	DURAMO SLIDE	10	DURAMO SLIDE;G 15890;10	 Rp 239,000 	  139,815.00 	5	  699,075.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4049855 688977	G 15892	DURAMO SLIDE	4	DURAMO SLIDE;G 15892;4	 Rp 239,000 	  139,815.00 	1	  139,815.00 
FOOTWERE	4049855 688991	G 15892	DURAMO SLIDE	6	DURAMO SLIDE;G 15892;6	 Rp 239,000 	  139,815.00 	11	  1,537,965.00 
FOOTWERE	4049855 6889004	G 15892	DURAMO SLIDE	7	DURAMO SLIDE;G 15892;7	 Rp 239,000 	  139,815.00 	0	  -   
FOOTWERE	4049855 689011	G 15892	DURAMO SLIDE	8	DURAMO SLIDE;G 15892;8	 Rp 239,000 	  139,815.00 	5	  699,075.00 
FOOTWERE	4049855 689028	G 15892	DURAMO SLIDE	9	DURAMO SLIDE;G 15892;9	 Rp 239,000 	  139,815.00 	6	  838,890.00 
FOOTWERE	4049855 689035	G 15892	DURAMO SLIDE	10	DURAMO SLIDE;G 15892;10	 Rp 239,000 	  139,815.00 	12	  1,677,780.00 
FOOTWERE	4049855 689042	G 15892	DURAMO SLIDE	11	DURAMO SLIDE;G 15892;11	 Rp 239,000 	  139,815.00 	1	  139,815.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4050266 211920	G 16220	ADILLETTE	8	ADILLETTE;G 16220;8	 Rp 359,000 	  210,015.00 	9	  1,890,135.00 
FOOTWERE	4050266 211937	G 16220	ADILLETTE	9	ADILLETTE;G 16220;9	 Rp 359,000 	  210,015.00 	8	  1,680,120.00 
FOOTWERE	4050266 211944	G 16220	ADILLETTE	10	ADILLETTE;G 16220;10	 Rp 359,000 	  210,015.00 	10	  2,100,150.00 
FOOTWERE	4050266 211951	G 16220	ADILLETTE	11	ADILLETTE;G 16220;11	 Rp 359,000 	  210,015.00 	2	  420,030.00 
FOOTWERE	4050266 211968	G 16220	ADILLETTE	12	ADILLETTE;G 16220;12	 Rp 359,000 	  210,015.00 	1	  210,015.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4050951 844686	G 40561	DURAMO SLIDE	6	DURAMO SLIDE;G 40561;6	 Rp 189,000 	  110,565.00 	0	  -   
FOOTWERE	4050951 844747	G 40561	DURAMO SLIDE	12	DURAMO SLIDE;G 40561;12	 Rp 189,000 	  110,565.00 	1	  110,565.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4050952 800544	G 50895	ADILETTE	6	ADILETTE;G 50895;6	 Rp 399,000 	  233,415.00 	0	  -   
FOOTWERE					;;				  -   
FOOTWERE	4052557 898407	G 96368	ADILETTE TREFOIL	7	ADILETTE TREFOIL;G 96368;7	 Rp 399,000 	  233,415.00 	11	  2,567,565.00 
FOOTWERE	4052557 898414	G 96368	ADILETTE TREFOIL	8	ADILETTE TREFOIL;G 96368;8	 Rp 399,000 	  233,415.00 	16	  3,734,640.00 
FOOTWERE	4052557 898421	G 96368	ADILETTE TREFOIL	9	ADILETTE TREFOIL;G 96368;9	 Rp 399,000 	  233,415.00 	18	  4,201,470.00 
FOOTWERE	4052557 898438	G 96368	ADILETTE TREFOIL	10	ADILETTE TREFOIL;G 96368;10	 Rp 399,000 	  233,415.00 	7	  1,633,905.00 
FOOTWERE	4052557 898445	G 96368	ADILETTE TREFOIL	11	ADILETTE TREFOIL;G 96368;11	 Rp 399,000 	  233,415.00 	4	  933,660.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052557 898155	G 96369	ADILETTE TREFOIL	6	ADILETTE TREFOIL;G 96369;6	 Rp 399,000 	  233,415.00 	3	  700,245.00 
FOOTWERE	4052557 898162	G 96369	ADILETTE TREFOIL	7	ADILETTE TREFOIL;G 96369;7	 Rp 399,000 	  233,415.00 	9	  2,100,735.00 
FOOTWERE	4052557 898179	G 96369	ADILETTE TREFOIL	8	ADILETTE TREFOIL;G 96369;8	 Rp 399,000 	  233,415.00 	13	  3,034,395.00 
FOOTWERE	4052557 898186	G 96369	ADILETTE TREFOIL	9	ADILETTE TREFOIL;G 96369;9	 Rp 399,000 	  233,415.00 	12	  2,800,980.00 
